trip_duration,distance_traveled,num_of_passengers,fare,tip,miscellaneous_fees,total_fare,surge_applied
748,2.75,1,75,24,6.3,105.3,0
1187,3.43,1,105,24,13.2,142.2,0
730,3.12,1,71.25,0,26.625,97.875,1
671,5.63,3,90,0,9.75,99.75,0
329,2.09,1,45,12,13.2,70.2,0
355,1.74,1,45,0,26.625,71.625,1
453,2.22,1,52.5,0,6,58.5,0
1288,5.21,1,116.25,36,26.325,178.575,1
134,1.48,1,33.75,0,6,39.75,0
980,3.48,1,90,0,6,96,0
84305,4.94,2,116.25,29,26.2,171.45,1
328,2.16,1,48.75,15,26.7,90.45,1
1848,4.83,1,142.5,17,26.425,185.925,1
305,2.04,1,45,0,9.75,54.75,0
234,1.61,0,37.5,0,26.625,64.125,1
1537,7.64,1,146.25,14,26.425,186.675,1
4059,30,1,390,0,55.125,445.125,0
530,2.43,1,56.25,0,9.75,66,0
319,1.67,1,41.25,0,26.625,67.875,1
773,3.41,2,75,9,13.5,97.5,0
375,1.45,1,45,24,33.825,102.825,1
586,2.57,1,63.75,0,26.625,90.375,1
357,1.43,1,112.5,0,2.25,114.75,0
1617,3.23,6,123.75,8,26.125,157.875,1
1163,5.62,1,108.75,0,13.5,122.25,0
1059,5.39,1,112.5,0,6,118.5,0
1271,4.84,1,116.25,0,26.625,142.875,1
915,4.46,1,93.75,26,33.7,153.45,1
742,4.89,3,90,11,30.625,131.625,1
1467,5.21,1,127.5,0,6,133.5,0
929,4.31,1,93.75,25,5.9,124.65,0
1149,9.35,1,153.75,0,26.625,180.375,1
1146,3.88,1,97.5,37,26.825,161.325,1
1023,2.41,2,90,19,6.125,115.125,0
255,2.48,1,45,0,6,51,0
668,3.11,2,75,0,9.75,84.75,0
11323,0.14,1,337.5,68,2.2,407.7,0
3722,19.17,1,322.5,89,34.3,445.8,1
962,12.7,1,180,37,6.2,223.2,0
407,5.13,1,78.75,18,9.45,106.2,0
512,2.4,1,56.25,12,6.45,74.7,0
139,0.64,1,26.25,9,6.375,41.625,0
1911,6.76,1,161.25,47,26.575,234.825,1
622,2.03,1,60,0,26.625,86.625,1
3438,27.54,1,408.75,4,75.65,488.4,1
395,2.27,1,52.5,13,13.7,79.2,0
703,6.45,1,101.25,28,9.5,138.75,0
978,4.51,1,97.5,12,27.075,136.575,1
730,3.35,1,75,22,33.95,130.95,1
1113,3.51,1,93.75,0,13.5,107.25,0
522,2.56,1,63.75,0,26.625,90.375,1
608,2.8,1,63.75,0,6,69.75,0
728,3.09,1,78.75,0,6,84.75,0
207,1.85,1,41.25,0,6,47.25,0
453,2.12,1,52.5,0,6,58.5,0
718,5.42,1,93.75,0,6,99.75,0
626,2.57,2,67.5,19,26.375,112.875,1
784,2.25,1,71.25,20,26.2,117.45,1
273,1.95,1,45,11,9.7,65.7,0
569,2.43,1,63.75,21,5.925,90.675,0
2175,13.07,1,232.5,0,9.75,242.25,0
1202,6.12,1,120,29,26.875,175.875,1
214,1.43,1,37.5,9,5.7,52.2,0
751,3.98,1,78.75,0,6,84.75,0
295,1.63,1,41.25,0,9.75,51,0
460,1.58,1,48.75,15,26.7,90.45,1
567,2.85,1,63.75,15,13.95,92.7,0
427,1.63,1,48.75,16,6.425,71.175,0
2147,16.87,1,251.25,0,26.625,277.875,1
845,2.54,1,75,16,6.2,97.2,0
887,10.99,1,153.75,0,55.125,208.875,0
447,1.77,1,48.75,0,6,54.75,0
420,1.75,1,48.75,0,13.5,62.25,0
142,0.66,1,26.25,0,6,32.25,0
537,1.54,1,56.25,0,13.5,69.75,0
972,3.17,1,78.75,0,6,84.75,0
2406,4.38,1,176.25,41,26.2,243.45,1
684,3.83,1,78.75,0,6,84.75,0
1090,6.65,1,120,38,13,171,0
1215,13.68,2,195,0,30.375,225.375,1
1045,17.27,2,225,0,6,231,0
2467,11.35,5,221.25,0,13.5,234.75,0
319,1.32,1,41.25,0,9.75,51,0
2249,28.49,1,390,15,55.125,460.125,0
692,3.19,1,78.75,22,9.875,110.625,0
10,0.31,1,75,0,2.25,77.25,0
1592,13.84,1,213.75,50,33.625,297.375,1
1092,9.66,6,142.5,34,26.45,202.95,1
234,1.22,1,33.75,0,6,39.75,0
506,2.86,2,60,0,26.625,86.625,1
1303,3.2,1,108.75,27,26.7,162.45,1
1244,14.82,2,202.5,0,9.75,212.25,0
1592,5.66,1,131.25,0,26.625,157.875,1
1641,19.07,1,262.5,38,9.25,309.75,0
1242,6.94,1,123.75,0,6,129.75,0
1029,3.2,1,90,19,6.2,115.2,0
958,2.9,5,90,19,6.2,115.2,0
664,2.9,1,67.5,22,6.05,95.55,0
1461,4.57,1,123.75,0,13.5,137.25,0
1518,5.47,1,135,40,26.75,201.75,1
502,2.09,1,56.25,12,6.45,74.7,0
1042,4.99,1,105,0,6,111,0
1211,3.28,1,101.25,27,34.2,162.45,1
292,0.77,1,37.5,13,6.05,56.55,0
827,2.98,1,82.5,0,13.5,96,0
592,1.37,1,56.25,0,13.5,69.75,0
536,2.16,1,56.25,0,9.75,66,0
173,0.58,1,26.25,0,6,32.25,0
903,3.59,1,82.5,23,34.45,139.95,1
420,1.79,1,52.5,0,9.75,62.25,0
292,1.38,1,41.25,0,13.5,54.75,0
462,1.93,2,52.5,0,6,58.5,0
663,2.35,1,63.75,15,6,84.75,0
467,0.69,1,48.75,0,6,54.75,0
1684,12.15,1,191.25,38,33.625,262.875,1
194,1.29,1,33.75,8,5.95,47.7,0
610,2.7,1,63.75,24,34.575,122.325,1
467,2.04,1,56.25,0,13.5,69.75,0
760,3.73,1,78.75,0,9.75,88.5,0
437,6.13,1,93.75,1,9.35,104.1,0
1039,2.83,1,90,24,6,120,0
668,3.04,1,67.5,15,10.2,92.7,0
